	Position	Artist	Song	Release Date	Biggest Platform	Streams	Followers	Subscribers	Views	Video Count	Authentic engagement	Engagement avg
54	55	Billie Eilish	when the party's over	NaN	NaN	331192577.0	NaN	NaN	NaN	NaN	NaN	NaN
55	56	Kendrick Lamar	LOVE. FEAT. ZACARI.	NaN	NaN	329243971.0	NaN	NaN	NaN	NaN	NaN	NaN
56	57	Cardi B	I Like It	NaN	NaN	329059657.0	NaN	NaN	NaN	NaN	NaN	NaN
57	58	Lizzo	Truth Hurts	NaN	NaN	321459791.0	NaN	NaN	NaN	NaN	NaN	NaN
58	59	Halsey	Without Me	NaN	NaN	320826979.0	NaN	NaN	NaN	NaN	NaN	NaN
59	60	Logic	18002738255	NaN	NaN	320245347.0	NaN	NaN	NaN	NaN	NaN	NaN
60	61	Bebe Rexha	Meant to Be	NaN	NaN	318478528.0	NaN	NaN	NaN	NaN	NaN	NaN
61	62	Ariana Grande	thank u, next	NaN	NaN	317987550.0	NaN	NaN	NaN	NaN	NaN	NaN
62	63	BlocBoy JB	Look Alive	NaN	NaN	316629241.0	NaN	NaN	NaN	NaN	NaN	NaN
63	64	Marshmello	Happier	NaN	NaN	316018345.0	NaN	NaN	NaN	NaN	NaN	NaN
64	65	James Arthur	Say You Won't Let Go	NaN	NaN	315132103.0	NaN	NaN	NaN	NaN	NaN	NaN
65	66	Arizona Zervas	ROXANNE	NaN	NaN	314843202.0	NaN	NaN	NaN	NaN	NaN	NaN
66	67	24kGoldn	Mood	NaN	NaN	314504480.0	NaN	NaN	NaN	NaN	NaN	NaN
67	68	Drake	Nice For What	NaN	NaN	313324663.0	NaN	NaN	NaN	NaN	NaN	NaN
68	69	blackbear	hot girl bummer	NaN	NaN	312411378.0	NaN	NaN	NaN	NaN	NaN	NaN
69	70	Mariah Carey	All I Want for Christmas Is You	NaN	NaN	312323662.0	NaN	NaN	NaN	NaN	NaN	NaN
70	71	benny blanco	Eastside	NaN	NaN	308890413.0	NaN	NaN	NaN	NaN	NaN	NaN
71	72	Juice WRLD	Bandit	NaN	NaN	307048160.0	NaN	NaN	NaN	NaN	NaN	NaN
72	73	Future	Life Is Good	NaN	NaN	305783118.0	NaN	NaN	NaN	NaN	NaN	NaN
73	74	YNW Melly	Murder On My Mind	NaN	NaN	305306060.0	NaN	NaN	NaN	NaN	NaN	NaN
74	75	Olivia Rodrigo	deja vu	NaN	NaN	304638969.0	NaN	NaN	NaN	NaN	NaN	NaN
75	76	Polo G	RAPSTAR	NaN	NaN	299470033.0	NaN	NaN	NaN	NaN	NaN	NaN
76	77	Luke Combs	Beautiful Crazy	NaN	NaN	298483119.0	NaN	NaN	NaN	NaN	NaN	NaN
77	78	21 Savage	Bank Account	NaN	NaN	298320136.0	NaN	NaN	NaN	NaN	NaN	NaN
78	79	Drake	Wants and Needs	NaN	NaN	297154583.0	NaN	NaN	NaN	NaN	NaN	NaN
79	80	Cardi B	WAP	NaN	NaN	296670667.0	NaN	NaN	NaN	NaN	NaN	NaN
80	81	Travis Scott	HIGHEST IN THE ROOM	NaN	NaN	295198938.0	NaN	NaN	NaN	NaN	NaN	NaN
81	82	Lil Tecca	Ransom	NaN	NaN	292578295.0	NaN	NaN	NaN	NaN	NaN	NaN
82	83	Sheck Wes	Mo Bamba	NaN	NaN	289673118.0	NaN	NaN	NaN	NaN	NaN	NaN
83	84	Post Malone	White Iverson	NaN	NaN	288882157.0	NaN	NaN	NaN	NaN	NaN	NaN
84	85	Drake	In My Feelings	NaN	NaN	288633458.0	NaN	NaN	NaN	NaN	NaN	NaN
85	86	Lil Nas X	MONTERO (Call Me By Your Name)	NaN	NaN	288187067.0	NaN	NaN	NaN	NaN	NaN	NaN
86	87	French Montana	Unforgettable	NaN	NaN	287042302.0	NaN	NaN	NaN	NaN	NaN	NaN
87	88	Drake	Nonstop	NaN	NaN	286786239.0	NaN	NaN	NaN	NaN	NaN	NaN
88	89	Post Malone	Candy Paint	NaN	NaN	286217712.0	NaN	NaN	NaN	NaN	NaN	NaN
89	90	DRAM	Broccoli	NaN	NaN	285106532.0	NaN	NaN	NaN	NaN	NaN	NaN
90	91	Dua Lipa	Don't Start Now	NaN	NaN	284754771.0	NaN	NaN	NaN	NaN	NaN	NaN
91	92	Juice WRLD	Come & Go	NaN	NaN	280531842.0	NaN	NaN	NaN	NaN	NaN	NaN
92	93	Juice WRLD	Wishing Well	NaN	NaN	277821416.0	NaN	NaN	NaN	NaN	NaN	NaN
93	94	DaBaby	BOP	NaN	NaN	277705797.0	NaN	NaN	NaN	NaN	NaN	NaN
94	95	Lil Uzi Vert	20 Min	NaN	NaN	277454899.0	NaN	NaN	NaN	NaN	NaN	NaN
95	96	Travis Scott	BUTTERFLY EFFECT	NaN	NaN	276763296.0	NaN	NaN	NaN	NaN	NaN	NaN
96	97	Brenda Lee	Rockin' Around The Christmas Tree	NaN	NaN	276529912.0	NaN	NaN	NaN	NaN	NaN	NaN
97	98	Drake	Knife Talk	NaN	NaN	275693546.0	NaN	NaN	NaN	NaN	NaN	NaN
98	99	Pop Smoke	For The Night	NaN	NaN	274720487.0	NaN	NaN	NaN	NaN	NaN	NaN
99	100	Drake	Fake Love	NaN	NaN	274318587.0	NaN	NaN	NaN	NaN	NaN	NaN
100	101	Internet Money	Lemonade	NaN	NaN	273391855.0	NaN	NaN	NaN	NaN	NaN	NaN
101	102	Tyga	Taste	NaN	NaN	272293130.0	NaN	NaN	NaN	NaN	NaN	NaN
102	103	Future	Mask Off	NaN	NaN	271944410.0	NaN	NaN	NaN	NaN	NaN	NaN
103	104	Olivia Rodrigo	traitor	NaN	NaN	271379624.0	NaN	NaN	NaN	NaN	NaN	NaN
104	105	DaBaby	Suge	NaN	NaN	270915921.0	NaN	NaN	NaN	NaN	NaN	NaN
105	106	SZA	Good Days	NaN	NaN	270125295.0	NaN	NaN	NaN	NaN	NaN	NaN
106	107	Doja Cat	Need To Know	NaN	NaN	268475081.0	NaN	NaN	NaN	NaN	NaN	NaN
107	108	Drake	Money In The Grave (Drake ft. Rick Ross)	NaN	NaN	265919957.0	NaN	NaN	NaN	NaN	NaN	NaN
108	109	Mustard	Ballin'	NaN	NaN	265117682.0	NaN	NaN	NaN	NaN	NaN	NaN
109	110	Bryson Tiller	Don't	NaN	NaN	264444220.0	NaN	NaN	NaN	NaN	NaN	NaN
110	111	Harry Styles	Adore You	NaN	NaN	264055553.0	NaN	NaN	NaN	NaN	NaN	NaN
111	112	Imagine Dragons	Believer	NaN	NaN	263375966.0	NaN	NaN	NaN	NaN	NaN	NaN
112	113	Lauv	I Like Me Better	NaN	NaN	263177728.0	NaN	NaN	NaN	NaN	NaN	NaN
113	114	Migos	Bad and Boujee	NaN	NaN	262086852.0	NaN	NaN	NaN	NaN	NaN	NaN
114	115	KYLE	iSpy	NaN	NaN	262041081.0	NaN	NaN	NaN	NaN	NaN	NaN
115	116	Luis Fonsi	Despacito Remix	NaN	NaN	260702344.0	NaN	NaN	NaN	NaN	NaN	NaN
116	117	Kodak Black	ZEZE	NaN	NaN	260612786.0	NaN	NaN	NaN	NaN	NaN	NaN
117	118	Lil Uzi Vert	The Way Life Goes	NaN	NaN	260565170.0	NaN	NaN	NaN	NaN	NaN	NaN
118	119	Khalid	Better	NaN	NaN	259760668.0	NaN	NaN	NaN	NaN	NaN	NaN
119	120	Sam Hunt	Body Like A Back Road	NaN	NaN	259538408.0	NaN	NaN	NaN	NaN	NaN	NaN
120	121	A Boogie Wit da Hoodie	Swervin	NaN	NaN	258648283.0	NaN	NaN	NaN	NaN	NaN	NaN
121	122	Imagine Dragons	Thunder	NaN	NaN	257758821.0	NaN	NaN	NaN	NaN	NaN	NaN
122	123	Tones And I	Dance Monkey	NaN	NaN	256274759.0	NaN	NaN	NaN	NaN	NaN	NaN
123	124	The Chainsmokers	Don't Let Me Down	NaN	NaN	251672744.0	NaN	NaN	NaN	NaN	NaN	NaN
124	125	Polo G	Pop Out	NaN	NaN	251658876.0	NaN	NaN	NaN	NaN	NaN	NaN
125	126	Chris Brown	No Guidance	NaN	NaN	250362082.0	NaN	NaN	NaN	NaN	NaN	NaN
126	127	Drake	Passionfruit	NaN	NaN	249576463.0	NaN	NaN	NaN	NaN	NaN	NaN
127	128	Steve Lacy	Dark Red	NaN	NaN	249198471.0	NaN	NaN	NaN	NaN	NaN	NaN
128	129	Juice WRLD	Armed And Dangerous	NaN	NaN	248991383.0	NaN	NaN	NaN	NaN	NaN	NaN
129	130	Camila Cabello	Havana	NaN	NaN	247086289.0	NaN	NaN	NaN	NaN	NaN	NaN
130	131	Morgan Wallen	Wasted On You	NaN	NaN	246675467.0	NaN	NaN	NaN	NaN	NaN	NaN
131	132	Drake	Laugh Now Cry Later	NaN	NaN	246389835.0	NaN	NaN	NaN	NaN	NaN	NaN
132	133	Bruno Mars	That's What I Like	NaN	NaN	245642565.0	NaN	NaN	NaN	NaN	NaN	NaN
133	134	Kendrick Lamar	DNA.	NaN	NaN	242841173.0	NaN	NaN	NaN	NaN	NaN	NaN
134	135	The Weeknd	Save Your Tears	NaN	NaN	242055670.0	NaN	NaN	NaN	NaN	NaN	NaN
135	136	Polo G	Martin & Gina	NaN	NaN	241128929.0	NaN	NaN	NaN	NaN	NaN	NaN
136	137	The Weeknd	Die For You	NaN	NaN	240869086.0	NaN	NaN	NaN	NaN	NaN	NaN
137	138	Eminem	Godzilla	NaN	NaN	240271807.0	NaN	NaN	NaN	NaN	NaN	NaN
138	139	Big Sean	Bounce Back	NaN	NaN	239157563.0	NaN	NaN	NaN	NaN	NaN	NaN
139	140	Steve Lacy	Bad Habit	NaN	NaN	239087671.0	NaN	NaN	NaN	NaN	NaN	NaN
140	141	Jack Harlow	WHATS POPPIN	NaN	NaN	238356467.0	NaN	NaN	NaN	NaN	NaN	NaN
141	142	XXXTENTACION	Everybody Dies In Their Nightmares	NaN	NaN	238214306.0	NaN	NaN	NaN	NaN	NaN	NaN
142	143	Desiigner	Panda	NaN	NaN	237739871.0	NaN	NaN	NaN	NaN	NaN	NaN
143	144	Shawn Mendes	Señorita	NaN	NaN	236868842.0	NaN	NaN	NaN	NaN	NaN	NaN
144	145	Fleetwood Mac	Dreams 2004 Remaster	NaN	NaN	236167945.0	NaN	NaN	NaN	NaN	NaN	NaN
145	146	Cardi B	Bodak Yellow	NaN	NaN	235788390.0	NaN	NaN	NaN	NaN	NaN	NaN
146	147	Bobby Helms	Jingle Bell Rock	NaN	NaN	235335220.0	NaN	NaN	NaN	NaN	NaN	NaN
147	148	Drake	Jumpman	NaN	NaN	235129660.0	NaN	NaN	NaN	NaN	NaN	NaN
148	149	Trevor Daniel	Falling	NaN	NaN	234818302.0	NaN	NaN	NaN	NaN	NaN	NaN
149	150	Bad Bunny	DÁKITI	NaN	NaN	234636216.0	NaN	NaN	NaN	NaN	NaN	NaN
150	151	Rihanna	Needed Me	NaN	NaN	233794067.0	NaN	NaN	NaN	NaN	NaN	NaN
151	152	5 Seconds of Summer	Youngblood	NaN	NaN	233302902.0	NaN	NaN	NaN	NaN	NaN	NaN
152	153	The Killers	Mr. Brightside	NaN	NaN	232977345.0	NaN	NaN	NaN	NaN	NaN	NaN
153	154	Baby Keem	family ties	NaN	NaN	232461442.0	NaN	NaN	NaN	NaN	NaN	NaN
154	155	Doja Cat	Woman	NaN	NaN	232370353.0	NaN	NaN	NaN	NaN	NaN	NaN
155	156	Arctic Monkeys	505	NaN	NaN	231800625.0	NaN	NaN	NaN	NaN	NaN	NaN
156	157	Lil Nas X	Old Town Road Remix	NaN	NaN	229868299.0	NaN	NaN	NaN	NaN	NaN	NaN
157	158	DJ Khaled	I'm the One	NaN	NaN	227464533.0	NaN	NaN	NaN	NaN	NaN	NaN
158	159	Drake	Hotline Bling	NaN	NaN	226915487.0	NaN	NaN	NaN	NaN	NaN	NaN
159	160	A Boogie Wit da Hoodie	Drowning	NaN	NaN	225834058.0	NaN	NaN	NaN	NaN	NaN	NaN
160	161	XXXTENTACION	changes	NaN	NaN	225063813.0	NaN	NaN	NaN	NaN	NaN	NaN
161	162	Machine Gun Kelly	my ex's best friend	NaN	NaN	223702831.0	NaN	NaN	NaN	NaN	NaN	NaN
162	163	Bazzi	Mine	NaN	NaN	223577524.0	NaN	NaN	NaN	NaN	NaN	NaN
163	164	Zedd	The Middle	NaN	NaN	223370198.0	NaN	NaN	NaN	NaN	NaN	NaN
164	165	Justin Bieber	Sorry	NaN	NaN	222779216.0	NaN	NaN	NaN	NaN	NaN	NaN
165	166	Conan Gray	Heather	NaN	NaN	222474626.0	NaN	NaN	NaN	NaN	NaN	NaN
166	167	Post Malone	Goodbyes (Feat. Young Thug)	NaN	NaN	220243023.0	NaN	NaN	NaN	NaN	NaN	NaN
167	168	XXXTENTACION	Look At Me!	NaN	NaN	218130170.0	NaN	NaN	NaN	NaN	NaN	NaN
168	169	Bad Bunny	Me Porto Bonito	NaN	NaN	217545422.0	NaN	NaN	NaN	NaN	NaN	NaN
169	170	J. Cole	Wet Dreamz	NaN	NaN	217277232.0	NaN	NaN	NaN	NaN	NaN	NaN
170	171	Andy Williams	It's the Most Wonderful Time of the Year	NaN	NaN	214480695.0	NaN	NaN	NaN	NaN	NaN	NaN
171	172	Jack Harlow	WHATS POPPIN	NaN	NaN	212620780.0	NaN	NaN	NaN	NaN	NaN	NaN
172	173	Lewis Capaldi	Before You Go	NaN	NaN	211623667.0	NaN	NaN	NaN	NaN	NaN	NaN
173	174	Juice WRLD	Lean Wit Me	NaN	NaN	209772076.0	NaN	NaN	NaN	NaN	NaN	NaN
174	175	Tame Impala	The Less I Know The Better	NaN	NaN	209554986.0	NaN	NaN	NaN	NaN	NaN	NaN
175	176	G-Eazy	Eazy Me, Myself & I	NaN	NaN	208480098.0	NaN	NaN	NaN	NaN	NaN	NaN
176	177	Bad Bunny	Tití Me Preguntó	NaN	NaN	207857104.0	NaN	NaN	NaN	NaN	NaN	NaN
177	178	Twenty One Pilots	Ride	NaN	NaN	207848346.0	NaN	NaN	NaN	NaN	NaN	NaN
178	179	Kendrick Lamar	All The Stars	NaN	NaN	207519025.0	NaN	NaN	NaN	NaN	NaN	NaN
179	180	Twenty One Pilots	Stressed Out	NaN	NaN	207439306.0	NaN	NaN	NaN	NaN	NaN	NaN
180	181	Billie Eilish	Happier Than Ever	NaN	NaN	207031225.0	NaN	NaN	NaN	NaN	NaN	NaN
181	182	Aminé	Caroline	NaN	NaN	206635412.0	NaN	NaN	NaN	NaN	NaN	NaN
182	183	6ix9ine	FEFE	NaN	NaN	206222122.0	NaN	NaN	NaN	NaN	NaN	NaN
183	184	Drake	Too Good	NaN	NaN	205088227.0	NaN	NaN	NaN	NaN	NaN	NaN
184	185	Tyler, The Creator	EARFQUAKE	NaN	NaN	204484344.0	NaN	NaN	NaN	NaN	NaN	NaN
185	186	Khalid	Love Lies	NaN	NaN	204075140.0	NaN	NaN	NaN	NaN	NaN	NaN
186	187	Justin Bieber	Peaches	NaN	NaN	203494777.0	NaN	NaN	NaN	NaN	NaN	NaN
187	188	Kendrick Lamar	Money Trees	NaN	NaN	203375167.0	NaN	NaN	NaN	NaN	NaN	NaN
188	189	Young Thug	The London	NaN	NaN	203093189.0	NaN	NaN	NaN	NaN	NaN	NaN
189	190	Future	Low Life	NaN	NaN	202769617.0	NaN	NaN	NaN	NaN	NaN	NaN
190	191	Panic! At The Disco	High Hopes	NaN	NaN	201888489.0	NaN	NaN	NaN	NaN	NaN	NaN
191	192	SAINt JHN	Roses Imanbek Remix	NaN	NaN	201135462.0	NaN	NaN	NaN	NaN	NaN	NaN
192	193	Powfu	death bed	NaN	NaN	200371352.0	NaN	NaN	NaN	NaN	NaN	NaN
193	194	Rae Sremmurd	Black Beatles	NaN	NaN	200178133.0	NaN	NaN	NaN	NaN	NaN	NaN
194	195	Rihanna	Work	NaN	NaN	199973584.0	NaN	NaN	NaN	NaN	NaN	NaN
195	196	Billie Eilish	everything i wanted	NaN	NaN	199922212.0	NaN	NaN	NaN	NaN	NaN	NaN
196	197	Jonas Brothers	Sucker	NaN	NaN	199695180.0	NaN	NaN	NaN	NaN	NaN	NaN
197	198	Rich The Kid	Plug Walk	NaN	NaN	198858962.0	NaN	NaN	NaN	NaN	NaN	NaN
198	199	Justin Bieber	Love Yourself	NaN	NaN	198773307.0	NaN	NaN	NaN	NaN	NaN	NaN
199	200	Migos	Slippery	NaN	NaN	197966789.0	NaN	NaN	NaN	NaN	NaN	NaN
200	201	21 Savage	a lot	NaN	NaN	197950103.0	NaN	NaN	NaN	NaN	NaN	NaN
201	202	Flipp Dinero	Leave Me Alone	NaN	NaN	197450612.0	NaN	NaN	NaN	NaN	NaN	NaN
202	203	Dan + Shay	Tequila	NaN	NaN	196958667.0	NaN	NaN	NaN	NaN	NaN	NaN
203	204	Bryson Tiller	Exchange	NaN	NaN	196861471.0	NaN	NaN	NaN	NaN	NaN	NaN
204	205	Twenty One Pilots	Heathens	NaN	NaN	195918435.0	NaN	NaN	NaN	NaN	NaN	NaN
205	206	Doja Cat	Streets	NaN	NaN	195884808.0	NaN	NaN	NaN	NaN	NaN	NaN
206	207	Wham!	Last Christmas	NaN	NaN	195381527.0	NaN	NaN	NaN	NaN	NaN	NaN
207	208	Jack Harlow	First Class	NaN	NaN	195314542.0	NaN	NaN	NaN	NaN	NaN	NaN
208	209	Fetty Wap	Trap Queen	NaN	NaN	194792972.0	NaN	NaN	NaN	NaN	NaN	NaN
209	210	The Weeknd	Can't Feel My Face	NaN	NaN	194406860.0	NaN	NaN	NaN	NaN	NaN	NaN
210	211	Bruno Mars	Leave The Door Open	NaN	NaN	193296752.0	NaN	NaN	NaN	NaN	NaN	NaN
211	212	Kodak Black	Roll In Peace	NaN	NaN	192647458.0	NaN	NaN	NaN	NaN	NaN	NaN
212	213	The Neighbourhood	Daddy Issues	NaN	NaN	192551331.0	NaN	NaN	NaN	NaN	NaN	NaN
213	214	Morgan Wallen	More Than My Hometown	NaN	NaN	191448082.0	NaN	NaN	NaN	NaN	NaN	NaN
214	215	Gucci Mane	Wake Up in the Sky	NaN	NaN	189926403.0	NaN	NaN	NaN	NaN	NaN	NaN
215	216	Marshmello	Silence	NaN	NaN	189144242.0	NaN	NaN	NaN	NaN	NaN	NaN
216	217	Michael Bublé	It's Beginning to Look a Lot Like Christmas	NaN	NaN	187463596.0	NaN	NaN	NaN	NaN	NaN	NaN
217	218	Maroon 5	Girls Like You	NaN	NaN	186579571.0	NaN	NaN	NaN	NaN	NaN	NaN
218	219	Justin Bieber	What Do You Mean?	NaN	NaN	185795808.0	NaN	NaN	NaN	NaN	NaN	NaN
219	220	The Weeknd	Call Out My Name	NaN	NaN	185191010.0	NaN	NaN	NaN	NaN	NaN	NaN
220	221	BØRNS	Electric Love	NaN	NaN	185017224.0	NaN	NaN	NaN	NaN	NaN	NaN
221	222	NF	Let You Down	NaN	NaN	184436690.0	NaN	NaN	NaN	NaN	NaN	NaN
222	223	Fifth Harmony	Work from Home	NaN	NaN	184122003.0	NaN	NaN	NaN	NaN	NaN	NaN
223	224	Drake	Controlla	NaN	NaN	183609837.0	NaN	NaN	NaN	NaN	NaN	NaN
224	225	Morgan Wallen	Chasin' You	NaN	NaN	183121183.0	NaN	NaN	NaN	NaN	NaN	NaN
225	226	Ariana Grande	Santa Tell Me	NaN	NaN	182490361.0	NaN	NaN	NaN	NaN	NaN	NaN
226	227	Ed Sheeran	Thinking out Loud	NaN	NaN	182153495.0	NaN	NaN	NaN	NaN	NaN	NaN
227	228	Pop Smoke	What You Know Bout Love	NaN	NaN	182024316.0	NaN	NaN	NaN	NaN	NaN	NaN
228	229	Lil Mosey	Noticed	NaN	NaN	181647697.0	NaN	NaN	NaN	NaN	NaN	NaN
229	230	Mike Posner	I Took A Pill In Ibiza Seeb Remix	NaN	NaN	181197216.0	NaN	NaN	NaN	NaN	NaN	NaN
230	231	Ed Sheeran	Perfect	NaN	NaN	180975541.0	NaN	NaN	NaN	NaN	NaN	NaN
231	232	Ariana Grande	no tears left to cry	NaN	NaN	180563889.0	NaN	NaN	NaN	NaN	NaN	NaN
232	233	Chance the Rapper	No Problem	NaN	NaN	180053419.0	NaN	NaN	NaN	NaN	NaN	NaN
233	234	Mustard	Pure Water	NaN	NaN	180042907.0	NaN	NaN	NaN	NaN	NaN	NaN
234	235	Dan + Shay	Speechless	NaN	NaN	179301739.0	NaN	NaN	NaN	NaN	NaN	NaN
235	236	The Chainsmokers	Roses	NaN	NaN	178699372.0	NaN	NaN	NaN	NaN	NaN	NaN
236	237	Khalid	Talk	NaN	NaN	178662883.0	NaN	NaN	NaN	NaN	NaN	NaN
237	238	G	Eazy No Limit	NaN	NaN	178639729.0	NaN	NaN	NaN	NaN	NaN	NaN
238	239	21 Savage	X	NaN	NaN	178576237.0	NaN	NaN	NaN	NaN	NaN	NaN
239	240	Surf Curse	Freaks	NaN	NaN	178535641.0	NaN	NaN	NaN	NaN	NaN	NaN
240	241	Demi Lovato	Sorry Not Sorry	NaN	NaN	177157747.0	NaN	NaN	NaN	NaN	NaN	NaN
241	242	Billie Eilish	bury a friend	NaN	NaN	176834584.0	NaN	NaN	NaN	NaN	NaN	NaN
242	243	Kodak Black	Tunnel Vision	NaN	NaN	176688536.0	NaN	NaN	NaN	NaN	NaN	NaN
243	244	Surfaces	Sunday Best	NaN	NaN	176430872.0	NaN	NaN	NaN	NaN	NaN	NaN
244	245	Sleepy Hallow	2055	NaN	NaN	176244822.0	NaN	NaN	NaN	NaN	NaN	NaN
