Position,Artist,Song,Streams
148,Drake ,Jumpman,235129660
149,Trevor Daniel ,Falling,234818302
150,Bad Bunny ,DÁKITI,234636216
151,Rihanna ,Needed Me,233794067
152,5 Seconds of Summer ,Youngblood,233302902
153,The Killers ,Mr. Brightside,232977345
154,Baby Keem ,family ties,232461442
155,Doja Cat ,Woman,232370353
156,Arctic Monkeys ,505,231800625
157,Lil Nas X ,Old Town Road  Remix,229868299
158,DJ Khaled ,I'm the One,227464533
159,Drake ,Hotline Bling,226915487
160,A Boogie Wit da Hoodie ,Drowning,225834058
161,XXXTENTACION ,changes,225063813
162,Machine Gun Kelly ,my ex's best friend,223702831
163,Bazzi ,Mine,223577524
164,Zedd ,The Middle,223370198
165,Justin Bieber ,Sorry,222779216
166,Conan Gray ,Heather,222474626
167,Post Malone ,Goodbyes (Feat. Young Thug),220243023
168,XXXTENTACION ,Look At Me!,218130170
169,Bad Bunny ,Me Porto Bonito,217545422
170,J. Cole ,Wet Dreamz,217277232
171,Andy Williams ,It's the Most Wonderful Time of the Year,214480695
172,Jack Harlow ,WHATS POPPIN,212620780
173,Lewis Capaldi ,Before You Go,211623667
174,Juice WRLD ,Lean Wit Me,209772076
175,Tame Impala ,The Less I Know The Better,209554986
176,G-Eazy,"Eazy  Me, Myself & I",208480098
177,Bad Bunny ,Tití Me Preguntó,207857104
178,Twenty One Pilots ,Ride,207848346
179,Kendrick Lamar ,All The Stars,207519025
180,Twenty One Pilots ,Stressed Out,207439306
181,Billie Eilish ,Happier Than Ever,207031225
182,Aminé ,Caroline,206635412
183,6ix9ine ,FEFE,206222122
184,Drake ,Too Good,205088227
185,"Tyler, The Creator ",EARFQUAKE,204484344
186,Khalid ,Love Lies,204075140
187,Justin Bieber ,Peaches,203494777
188,Kendrick Lamar ,Money Trees,203375167
189,Young Thug ,The London,203093189
190,Future ,Low Life,202769617
191,Panic! At The Disco ,High Hopes,201888489
192,SAINt JHN ,Roses  Imanbek Remix,201135462
193,Powfu ,death bed,200371352
194,Rae Sremmurd ,Black Beatles,200178133
195,Rihanna ,Work,199973584
196,Billie Eilish ,everything i wanted,199922212
197,Jonas Brothers ,Sucker,199695180
198,Rich The Kid ,Plug Walk,198858962
199,Justin Bieber ,Love Yourself,198773307
200,Migos ,Slippery,197966789
201,21 Savage ,a lot,197950103
202,Flipp Dinero ,Leave Me Alone,197450612
203,Dan + Shay ,Tequila,196958667
204,Bryson Tiller ,Exchange,196861471
205,Twenty One Pilots ,Heathens,195918435
206,Doja Cat ,Streets,195884808
207,Wham! ,Last Christmas,195381527
208,Jack Harlow ,First Class,195314542
209,Fetty Wap ,Trap Queen,194792972
210,The Weeknd ,Can't Feel My Face,194406860
211,Bruno Mars ,Leave The Door Open,193296752
212,Kodak Black ,Roll In Peace,192647458
213,The Neighbourhood ,Daddy Issues,192551331
214,Morgan Wallen ,More Than My Hometown,191448082
215,Gucci Mane ,Wake Up in the Sky,189926403
216,Marshmello ,Silence,189144242
217,Michael Bublé ,It's Beginning to Look a Lot Like Christmas,187463596
218,Maroon 5 ,Girls Like You,186579571
219,Justin Bieber ,What Do You Mean?,185795808
220,The Weeknd ,Call Out My Name,185191010
221,BØRNS ,Electric Love,185017224
222,NF ,Let You Down,184436690
223,Fifth Harmony ,Work from Home,184122003
224,Drake ,Controlla,183609837
225,Morgan Wallen ,Chasin' You,183121183
226,Ariana Grande ,Santa Tell Me,182490361
227,Ed Sheeran ,Thinking out Loud,182153495
228,Pop Smoke ,What You Know Bout Love,182024316
229,Lil Mosey ,Noticed,181647697
230,Mike Posner ,I Took A Pill In Ibiza  Seeb Remix,181197216
231,Ed Sheeran ,Perfect,180975541
232,Ariana Grande ,no tears left to cry,180563889
233,Chance the Rapper ,No Problem,180053419
234,Mustard ,Pure Water,180042907
235,Dan + Shay ,Speechless,179301739
236,The Chainsmokers ,Roses,178699372
237,Khalid ,Talk,178662883
238,G,Eazy  No Limit,178639729
239,21 Savage ,X,178576237
240,Surf Curse ,Freaks,178535641
241,Demi Lovato ,Sorry Not Sorry,177157747
242,Billie Eilish ,bury a friend,176834584
243,Kodak Black ,Tunnel Vision,176688536
244,Surfaces ,Sunday Best,176430872
245,Sleepy Hallow ,2055,176244822
246,Dan + Shay ,"10,000 Hours",175930281
247,Migos ,Stir Fry,175630677
248,A Boogie Wit da Hoodie ,Look Back At It,175483878
249,Justin Bieber ,Intentions,175135180
250,Post Malone ,Go Flex,174710816
251,The Walters ,I Love You So,174547021
252,Ed Sheeran ,Bad Habits,174488164
253,A$AP Ferg ,Plain Jane,174255086
254,Famous Dex ,PICK IT UP,173990426
255,Major Lazer ,Lean On,173817845
256,Elton John ,Cold Heart  PNAU Remix,173542648
257,Dua Lipa ,New Rules,173328947
258,Ed Sheeran ,Shivers,173225595
259,Mac Miller ,The Spins,173209349
260,Adele ,Easy On Me,173180228
261,Ariana Grande ,positions,172797966
262,Tate McRae ,you broke me first,172703722
263,Kodak Black ,Super Gremlin,171909115
264,Lil Nas X ,Panini,171512571
265,Drake ,Way 2 Sexy,170202629
266,Roddy Ricch ,High Fashion,169149991
267,Ed Sheeran ,I Don't Care,168839409
268,Billie Eilish ,ocean eyes,168543006
269,"Tyler, The Creator ",See You Again,168256802
270,Migos ,Walk It Talk It,168214275
271,Lady Gaga ,Shallow,167883840
272,Drake ,Jimmy Cooks,166499191
273,Doja Cat ,Say So,165898476
274,Fetty Wap ,679,165220739
275,Kali Uchis ,telepatía,164803198
276,Calboy ,Envy Me,164149940
277,Justin Bieber ,Ghost,163964781
278,Adele ,Hello,163937424
279,Joji ,Glimpse of Us,163315058
280,Burl Ives ,A Holly Jolly Christmas  Single Version,163198351
281,Julia Michaels ,Issues,163082925
282,Kate Bush ,Running Up That Hill (A Deal With God),163034803
283,Migos ,TShirt,162318539
284,Giveon ,HEARTBREAK ANNIVERSARY,162181516
285,ZAYN ,I Don’t Wanna Live Forever (Fifty Shades Darker),161895465
286,Drake ,Toosie Slide,161667752
287,Kanye West ,Father Stretch My Hands Pt. 1,161479699
288,Zedd ,Stay,161032066
289,Major Lazer ,Cold Water,160700352
290,Lil Nas X ,THATS WHAT I WANT,160369392
291,Future ,WAIT FOR U,160359546
292,Lil Uzi Vert ,Sanguine Paradise,160244733
293,Maroon 5 ,Memories,159686092
294,Lil Pump ,Gucci Gang,159368635
295,Lil Uzi Vert ,Money Longer,159142673
296,DJ Snake ,Let Me Love You,158366154
297,Hailee Steinfeld ,Starving,158320524
298,JP Saxe ,If The World Was Ending,156928093
299,The Chainsmokers ,Something Just Like This,156839599
300,Olivia Rodrigo ,favorite crime,156762362
301,Chris Stapleton ,Tennessee Whiskey,156707370
302,Gucci Mane ,I Get The Bag,156184444
303,Masked Wolf ,Astronaut In The Ocean,155387513
304,Khalid ,Saturday Nights,154969059
305,H.E.R. ,Best Part,154582091
306,Rob $tone ,Chill Bill,154052440
307,YNW Melly ,223's,152984591
308,Hozier ,Take Me To Church,152777306
309,Ed Sheeran ,Beautiful People,152409919
310,Ariana Grande ,"break up with your girlfriend, i'm bored",152246486
311,Playboi Carti ,Magnolia,151502606
312,Beach House ,Space Song,151348745
313,JAY,Z  Ni**as In Paris,151213181
314,Calvin Harris ,This Is What You Came For,149620244
315,Ariana Grande ,34+35,148864140
316,Don Toliver ,After Party,148828688
317,Lizzo ,About Damn Time,148776441
318,Calvin Harris ,Slide,148615807
319,Juice WRLD ,Righteous,148152203
320,THE SCOTTS ,THE SCOTTS,147793519
321,The Kid LAROI ,WITHOUT YOU,147434939
322,Young Thug ,pick up the phone,146950542
323,Zach Bryan ,Something in the Orange,146934063
324,Justin Timberlake ,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",146405505
325,Shawn Mendes ,Stitches,146222899
326,Pop Smoke ,Dior,145804298
327,Doja Cat ,Ain't Shit,145660715
328,Lil Tjay ,Calling My Phone,145633110
329,Charlie Puth ,Attention,145299789
330,Lil Skies ,Nowadays,144878462
331,Doja Cat ,You Right,144688259
332,Drake ,Portland,144664417
333,Bing Crosby ,White Christmas,144606354
334,Harry Styles ,Late Night Talking,144096811
335,Jay Rock ,King's Dead,144088666
336,Cardi B ,Up,143743718
337,Bad Bunny ,MIA,143656931
338,Hailee Steinfeld ,Let Me Go,143350902
339,The Weeknd ,I Feel It Coming,143319177
340,Sia ,Cheap Thrills,142986096
341,SZA ,Love Galore,142655912
342,Lukas Graham ,7 Years,142277410
343,Morgan Wallen ,You Proof,141716685
344,gnash ,"i hate u, i love u",141690287
345,Rae Sremmurd ,Swang,141632137
346,Nat King Cole ,The Christmas Song (Merry Christmas To You),141071360
347,Dean Lewis ,Be Alright,141016791
348,Post Malone ,I Like You (A Happier Song),140872042
349,Lil Xan ,Betrayed,140250610
350,Yot Club ,YKWIM?,139804345
351,Kendrick Lamar ,LOYALTY. FEAT. RIHANNA.,139730182
352,Sam Smith ,Dancing With A Stranger,138760630
353,Doja Cat ,Get Into It (Yuh),138640495
354,Migos ,MotorSport,138467640
355,Carolina Gaitán ,La Gaita  We Don't Talk About Bruno,138398595
356,Harry Styles ,Falling,138072456
357,DJ Khaled ,Wild Thoughts,138033504
358,Lil Uzi Vert ,You Was Right,138001040
359,Kiiara ,Gold,137920503
360,Kanye West ,Heartless,137403023
361,Luke Combs ,Forever After All,137048398
362,Mark Ronson ,Uptown Funk,136885294
363,Frank Sinatra ,Let It Snow! Let It Snow! Let It Snow!,136448853
364,Y2K ,Lalala,136394278
365,Ski Mask The Slump God ,Faucet Failure,136293354
366,Jack Ü ,Where Are Ü Now,135999812
367,Flo Rida ,My House,135782448
368,Noah Cyrus ,July,135753612
369,Lil Tjay ,F.N,135359031
370,DJ Khaled ,POPSTAR,135192435
371,Saweetie ,Best Friend,135156338
372,Bad Bunny ,Efecto,134743830
373,The Weeknd ,Save Your Tears,134482363
374,Ariana Grande ,Side To Side,134449731
375,Bad Bunny ,Yonaguni,133665412
376,Liam Payne ,Strip That Down,133182143
377,The Weeknd ,Earned It (Fifty Shades Of Grey),132827332
378,Drake ,Fair Trade,132758753
379,Morgan Wallen ,Sand In My Boots,132664367
380,Trippie Redd ,Miss The Rage,132399703
381,Bruno Mars ,24K Magic,132118188
382,Lil Nas X ,Old Town Road,132031403
383,ZAYN ,PILLOWTALK,131983424
384,BTS ,Dynamite,131917493
385,Kygo ,It Ain't Me,130487216
386,DaBaby ,VIBEZ,129872425
387,Russ ,Losin Control,129835284
388,Portugal. The Man ,Feel It Still,129571919
389,NEIKED ,Better Days (NEIKED x Mae Muller x Polo G),129400161
390,Shawn Mendes ,Treat You Better,129275991
391,Bad Bunny ,Moscow Mule,128972121
392,Cardi B ,Money,128812752
393,Morgan Wallen ,7 Summers,128247607
394,José Feliciano ,Feliz Navidad,128148147
395,Travis Scott ,YOSEMITE,127780533
396,Famous Dex ,JAPAN,127676006
397,Farruko ,Pepas,127483860
398,Justin Bieber ,Mistletoe,127188550
399,THE ANXIETY ,Meet Me At Our Spot,126861687
400,Polo G ,21,126417091
401,Vance Joy ,Riptide,126349492
402,DJ Snake ,Taki Taki,126096694
403,Grouplove ,Tongue Tied,125880696
404,Diplo ,Heartless,125811158
405,StaySolidRocky ,Party Girl,125662367
406,Taylor Swift ,AntiHero,124825787
407,Quality Control ,Baby (Lil Baby feat. DaBaby),124162581
408,Billie Eilish ,idontwannabeyouanymore,123991487
409,Queen ,Bohemian Rhapsody  Remastered 2011,123761624
410,NLE Choppa ,Camelot,123589568
411,Luke Combs ,When It Rains It Pours,123431139
412,Flume ,Never Be Like You,123343026
413,J Balvin ,LA CANCIÓN,123298668
414,Lil Baby ,Woah,122876453
415,OneRepublic ,I Ain't Worried,122488638
416,Playboi Carti ,Shoota,122469617
417,2 Chainz ,It's A Vibe,122067552
418,Doja Cat ,Vegas (From the Original Motion Picture Soundtrack ELVIS),121176458
419,Juice WRLD ,Legends,121077739
420,Rae Sremmurd ,Powerglide,120839941
421,XXXTENTACION ,Revenge,120698497
422,Ariana Grande ,God is a woman,120468984
423,Chris Brown ,Go Crazy,120431219
424,Martin Garrix ,In the Name of Love,120205635
425,Sam Smith ,Unholy,120201022
426,Pop Smoke ,Mood Swings,119371547
427,The Chainsmokers ,Paris,119358756
428,Lil Skies ,Red Roses,119331204
429,Wiz Khalifa ,See You Again,119131650
430,Billie Eilish ,wish you were gay,119110503
431,Måneskin ,Beggin',118922920
432,DNCE ,Cake By The Ocean,118801783
433,Kanye West ,Bound 2,118764637
434,Travis Scott ,Antidote,118146637
435,The Kid LAROI ,GO,117833168
436,Post Malone ,Take What You Want,117464544
437,Michael Bublé ,Holly Jolly Christmas,117362413
438,Jordan Davis ,Buy Dirt,117239640
439,Bad Bunny ,Ojitos Lindos,117064880
440,Cochise ,Tell Em,116861554
441,Miguel ,Sky Walker,116395947
442,Lil Peep ,Falling Down  Bonus Track,116066331
443,Kelly Clarkson ,Underneath the Tree,115764085
444,Lil Skies ,Lust,115693481
445,The Weeknd ,Heartless,115431955
446,Ellie Goulding ,Hate Me,115056947
447,Wallows ,Are You Bored Yet?,114791296
448,Travis Scott ,STARGAZING,114669162
449,Ariana Grande ,Into You,114250630
450,Eminem ,'Till I Collapse,114132725
451,NLE Choppa ,Walk Em Down,113510926
452,DJ Snake ,Middle,113465863
453,Khalid ,OTW,113437143
454,Taylor Swift ,You Need To Calm Down,113303615
455,Playboi Carti ,Sky,113291304
456,Lil Wayne ,Sucker For Pain,113258771
457,Maroon 5 ,What Lovers Do,113203255
458,d4vd ,Romantic Homicide,112839982
459,Drake ,I'm Upset,112748287
460,GAYLE ,abcdefu,112733991
461,Justin Bieber ,Holy,112093148
462,YNW Melly ,Suicidal,111505967
463,Post Malone ,Enemies,111333320
464,CJ ,Whoopty,111327394
465,WILLOW ,Wait a Minute!,111162304
466,Ed Sheeran ,Photograph,111120972
467,A$AP Rocky ,Praise The Lord (Da Shine),110819424
468,21 Savage ,No Heart,110613158
469,YG ,BIG BANK,110251626
470,Billie Eilish ,Therefore I Am,109936841
471,Nio Garcia ,Te Boté  Remix,109733059
472,Cardi B ,Bartier Cardi,109650225
473,Kid Cudi ,Pursuit Of Happiness (Nightmare),109480124
474,J Balvin ,Mi Gente,109423268
475,Ava Max ,Sweet but Psycho,109220489
476,Walker Hayes ,Fancy Like,109183937
477,Selena Gomez ,Lose You To Love Me,109150331
478,Olivia Rodrigo ,happier,109009363
479,Dean Martin ,Let It Snow! Let It Snow! Let It Snow!,108868445
480,Lil Durk ,Broadway Girls,108689365
481,Morgan Wallen ,Cover Me Up,108508201
482,blackbear ,do re mi,108380091
483,Sam Smith ,Stay With Me,108129184
484,Shawn Mendes ,There's Nothing Holdin' Me Back,107955518
485,Kanye West ,I Love It (& Lil Pump),107854141
486,Jeremih ,oui,107730094
487,Camila Cabello ,Never Be the Same,107372683
488,Billie Eilish ,you should see me in a crown,107243178
489,Shawn Mendes ,If I Can't Have You,107192421
490,Yo Gotti ,Rake It Up,107156568
491,Post Malone ,Ball For Me,107079418
492,Post Malone ,One Right Now,106856619
493,Olivia Rodrigo ,"jealousy, jealousy",106842027
494,Eminem ,Lucky You,106685258
495,Olivia Rodrigo ,brutal,106587197
496,Ali Gatie ,It's You,106473404
497,Bazzi ,Beautiful,105769712
498,Rich The Kid ,New Freezer,105262051
499,Niall Horan ,Slow Hands,105220848
500,Frank Ocean ,Lost,105158717
501,Pooh Shiesty ,Back In Blood,105011176
502,Maroon 5 ,Sugar,104864460
503,Elvis Presley ,Blue Christmas,104768563
504,Lil Baby ,We Paid,104746275
505,The Ronettes ,Sleigh Ride,104353068
506,Childish Gambino ,This Is America,103964722
507,Russ ,What They Want,103833455
508,Lil Peep ,Star Shopping,102969266
509,YNW Melly ,Mixed Personalities,102953208
510,Sam Smith ,Too Good At Goodbyes,102793276
511,JACKBOYS ,OUT WEST,102677098
512,Halsey ,Now Or Never,102516119
513,Jack Harlow ,Tyler Herro,102414445
514,Marshmello ,FRIENDS,102354557
515,XXXTENTACION ,Hope,102329254
516,Halsey ,Bad At Love,101922633
517,$uicideboy$ ,"...And to Those I Love, Thanks for Sticking Around",101882235
518,Lil Dicky ,Freaky Friday,101868561
519,Juice WRLD ,Wasted,101797919
520,Metro Boomin ,Space Cadet,101688152
521,Zara Larsson ,Never Forget You,101316722
522,PARTYNEXTDOOR ,Come and See Me,101074101
523,Taylor Swift ,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),100920020
524,Imagine Dragons ,Enemy,100835953
525,Perry Como ,It's Beginning to Look a Lot Like Christmas,100817505
526,Megan Thee Stallion ,Savage Remix,100761690
527,Nicky Youre ,Sunroof,100753638
528,Drake ,Pop Style,100358319
529,Drake ,Back To Back,100323465
530,Selena Gomez ,Wolves,100276358
531,WALK THE MOON ,Shut Up and Dance,100209488
532,Big Sean ,I Don't Fuck With You,99659160
533,Lord Huron ,The Night We Met,99390592
534,XXXTENTACION ,the remedy for a broken heart (why am I so in love),99380590
535,Ritt Momney ,Put Your Records On,99070218
536,Stephen Sanchez ,Until I Found You,98647110
537,Charlie Puth ,We Don't Talk Anymore,98211121
538,Conan Gray ,Maniac,98117699
539,Major Lazer ,Light It Up,98079211
540,Blueface ,Thotiana,98052157
541,Bad Bunny ,Party,97935403
542,Drake ,Rich Flex,97928728
543,YBN Nahmir ,Bounce Out With That,97885440
544,Bruno Mars ,Finesse  Remix; feat. Cardi B,97451275
545,Kane Brown ,Be Like That,97216562
546,Ariana Grande ,breathin,97210521
547,Cage The Elephant ,Cigarette Daydreams,97198449
548,Jawsh 685 ,Savage Love (Laxed  Sired Beat),97044129
549,Chuck Berry ,Run Rudolph Run  Single Version,96924483
550,G Herbo ,PTSD,96878801
551,FRENSHIP ,Capsize,96799483
552,Band Aid ,Do They Know It's Christmas?  1984 Version,96606504
553,Juice WRLD ,Hate The Other Side,96515557
554,Nicki Minaj ,Super Freaky Girl,96391022
555,Kanye West ,Flashing Lights,96363563
556,The Weeknd ,Often,95876024
557,Young Thug ,Hot,95787556
558,Lady Gaga ,Rain On Me,95611004
559,Kane Brown ,Heaven,95521001
560,Lil Mosey ,Stuck In A Dream,95475910
561,Eslabon Armado ,Jugaste y Sufrí,95201278
562,DaBaby ,TOES,94674586
563,Sam Smith ,How Do You Sleep?,94468000
564,Machine Gun Kelly ,Bad Things  With Camila Cabello,94454737
565,Future ,PUFFIN ON ZOOTIEZ,94325787
566,Future ,Fine China,94225744
567,Kevin Gates ,2 Phones,94221975
568,Sia ,Chandelier,94195494
569,Don Toliver ,No Idea,93790452
570,Drake ,What’s Next,93677191
571,Playboi Carti ,wokeuplikethis*,93644916
572,Bad Bunny ,Después de la Playa,93328473
573,Kane Brown ,What Ifs,93232207
574,Selena Gomez ,Back To You,93219297
575,Pop Smoke ,The Woo,93098286
576,Luis Fonsi ,Despacito (Featuring Daddy Yankee),93020729
577,Journey ,Don't Stop Believin',93020470
578,Drake ,Energy,92386459
579,Migos ,Narcos,92278196
580,Bazzi ,Paradise,92269595
581,Marshmello ,One Thing Right,91972872
582,Lil Skies ,i,91934808
583,Billie Eilish ,i love you,91793788
584,Kodak Black ,Codeine Dreaming,91629494
585,Gunna ,pushin P,91543896
586,Drake ,Chicago Freestyle,91252372
587,"Tyler, The Creator ",NEW MAGIC WAND,91144161
588,Gunna ,DOLLAZ ON MY HEAD,91048768
589,The Weeknd ,Party Monster,90931727
590,Luke Combs ,Hurricane,90807884
591,Selena Gomez ,Good For You,89918074
592,Fetty Wap ,Again,89804385
593,Alessia Cara ,Here,89798695
594,Taylor Swift ,Look What You Made Me Do,89718682
595,The Weeknd ,Pray For Me,89699614
596,Young Thug ,Relationship,89108978
597,JVKE ,golden hour,89077530
598,Lizzo ,Good As Hell,88713657
599,KAROL G ,PROVENZA,88539867
600,Lil Baby ,"Never Recover (Lil Baby & Gunna, Drake)",88382182
601,Alessia Cara ,Scars To Your Beautiful,88330659
602,Luke Combs ,The Kind of Love We Make,88164187
603,Harry Styles ,Lights Up,87724368
604,Drake ,Gyalchester,87719286
605,Bad Bunny ,Callaita,87611768
606,Dua Lipa ,IDGAF,87357163
607,Zara Larsson ,Lush Life,87351222
608,J. Cole ,Work Out,86907626
609,Rich Homie Quan ,"Flex (Ooh, Ooh, Ooh)",86829715
610,Dove Cameron ,Boyfriend,86719217
611,G,Eazy  Him & I,86593035
612,Maroon 5 ,Don't Wanna Know,86541563
613,Tiësto ,Jackie Chan,86521189
614,Kent Jones ,Don't Mind,86485934
615,Ed Sheeran ,Castle on the Hill,86482770
616,BENEE ,Supalonely,86449441
617,Bailey Zimmerman ,Rock and A Hard Place,86200828
618,Drake ,Know Yourself,85852793
619,French Montana ,No Stylist,85747254
620,SZA ,I Hate U,85718549
621,Calvin Harris ,One Kiss,85666961
622,Future ,Where Ya At,85639079
623,Adele ,Send My Love (To Your New Lover),85569483
624,Childish Gambino ,Me and Your Mama,85544703
625,BROCKHAMPTON ,SUGAR,85393131
626,Camila Cabello ,My Oh My,85344666
627,Kanye West ,Famous,85209688
628,Starley ,Call On Me  Ryan Riback Extended Remix,85119903
629,Lauv ,i'm so tired...,84670678
630,Ellie Goulding ,Close To Me,84655009
631,XXXTENTACION ,BAD!,84596862
632,NAV ,Wanted You,84451429
633,YoungBoy Never Broke Again ,Make No Sense,84397980
634,6LACK ,PRBLMS,84279473
635,Juice WRLD ,Smile,84269938
636,AJR ,Bang!,84042339
637,Calvin Harris ,Feels,83941364
